All,Kaikki,module,Magento_AdminGws
None,"Ei yhtään",module,Magento_AdminGws
"Allowed Scopes","Sallitut kohdenäkymät",module,Magento_AdminGws
"You need more permissions to delete this item(s): %1.","Tämän kohte(en/iden) poistaminen vaatii enemmän käyttöoikeuksia: %1.",module,Magento_AdminGws
"You need more permissions to apply some of the rule updates.","Joidenkin sääntöpäivitysten lisääminen vaatii enemmän käyttöoikeuksia.",module,Magento_AdminGws
"Please assign this entity to a store view.","Määritä tämä entiteetti kauppanäkymään.",module,Magento_AdminGws
"You can create orders only in an active store.","Voit luoda tilauksia vain aktiivisessa kaupassa.",module,Magento_AdminGws
"Please assign this item to a store view.","Määritä tämä nimike kauppanäkymään.",module,Magento_AdminGws
"You need more permissions to save this item.","Tämän kohteen tallentaminen vaatii enemmän käyttöoikeuksia.",module,Magento_AdminGws
"You need more permissions to delete this item.","Tämän kohteen poistaminen vaatii enemmän käyttöoikeuksia.",module,Magento_AdminGws
"You need more permissions to view this item.","Tämän kohteen tarkasteleminen vaatii enemmän käyttöoikeuksia.",module,Magento_AdminGws
"Please specify at least one website or one store group.","Määritä vähintään yksi sivusto tai yksi kaupparyhmä.",module,Magento_AdminGws
"You need more permissions to set All Scopes to a Role.","Tarvitset enemmän oikeuksia asettaaksesi kaikki toimintaoikeudet roolille.",module,Magento_AdminGws
"Incorrect website ID: %1","Virheellinen sivuston tunnus: %1",module,Magento_AdminGws
"You need more permissions to access website ""%1"".","Lisää käyttöoikeuksia tarvitaan pääsemiseksi sivustolle ""%1"".",module,Magento_AdminGws
"Incorrect store ID: %1","Virheellinen kaupan tunnus: %1",module,Magento_AdminGws
"You need more permissions to save this setting.","Tämän asetuksen tallentaminen vaatii laajemmat käyttöoikeudet.",module,Magento_AdminGws
"Role Scopes","Roolien toimintaoikeudet",module,Magento_AdminGws
Custom,Mukautettu,module,Magento_AdminGws
"Read Details",Lisätietoja,module,Magento_AdminNotification
"Mark as Read","Merkitse luetuksi",module,Magento_AdminNotification
"Are you sure?","Oletko varma?",module,Magento_AdminNotification
Remove,Poista,module,Magento_AdminNotification
"Messages Inbox",Saapuneet-kansio,module,Magento_AdminNotification
"You have %1 new system messages","Sinulla on %1 uutta järjestelmäviesti(ä)",module,Magento_AdminNotification
"You have %1 new system message","Sinulla on %1 uusi järjestelmäviesti",module,Magento_AdminNotification
"Incoming Message","Saapuva viesti",module,Magento_AdminNotification
close,sulje,module,Magento_AdminNotification
Notifications,Ilmoitukset,module,Magento_AdminNotification
"The message has been marked as Read.","Viesti on merkitty luetuksi.",module,Magento_AdminNotification
"We couldn't mark the notification as Read because of an error.","Ilmoitusta ei voitu merkitä luetuksi virheen vuoksi.",module,Magento_AdminNotification
"Please select messages.","Valitse viestit.",module,Magento_AdminNotification
"A total of %1 record(s) have been marked as Read.","Yhteensä %1 tietue(tta) on merkitty luetuksi.",module,Magento_AdminNotification
"Total of %1 record(s) have been removed.","Yhteensä %1 tietue(tta) on poistettu.",module,Magento_AdminNotification
"We couldn't remove the messages because of an error.","Viestejä ei voitu poistaa virheen vuoksi.",module,Magento_AdminNotification
"The message has been removed.","Viesti on poistettu.",module,Magento_AdminNotification
"1 Hour","1 tunti",module,Magento_AdminNotification
"2 Hours","2 tuntia",module,Magento_AdminNotification
"6 Hours","6 tuntia",module,Magento_AdminNotification
"12 Hours","12 tuntia",module,Magento_AdminNotification
"24 Hours","24 tuntia",module,Magento_AdminNotification
critical,kriittinen,module,Magento_AdminNotification
major,merkittävä,module,Magento_AdminNotification
minor,vähäinen,module,Magento_AdminNotification
notice,ilmoitus,module,Magento_AdminNotification
"Wrong message type","Väärä viestityyppi",module,Magento_AdminNotification
"Wrong notification ID specified.","Väärä ilmoitustunnus määritetty.",module,Magento_AdminNotification
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} ei ole suositeltavaa käyttää tuotantoympäristössä Base Unsecure URL / Base Secure URL-esittämiseksi. Suosittelemme voimakkaasti tämän arvon vaihtamista Magenton <a href=""%1"">kokoonpanossa</a>.",module,Magento_AdminNotification
"One or more of the Cache Types are invalidated: %1.","Yksi tai useampi välimuistityyppi vaatii virkistämisen: %1.",module,Magento_AdminNotification
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Ole hyvä ja siirry <a href=""%1"">Välimuistin hallintaan</a> ja tyhjennä välimuistityypit.",module,Magento_AdminNotification
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Yhtä tai useampaa media-tiedostoa ei voida synkronoida. Katso lisätietoja lokitiedostosta.",module,Magento_AdminNotification
"Synchronization of media storages has been completed.","Mediasäilöjen synkronointi on suoritettu.",module,Magento_AdminNotification
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web-palvelin on määritetty väärin ja mahdollistaa luvattoman pääsyn arkaluontoisiin tiedostoihin. Ota yhteyttä palveluntarjoajaasi.",module,Magento_AdminNotification
"System Messages:",Järjestelmäviestit:,module,Magento_AdminNotification
"Critical System Messages","Kriittiset järjestelmäviestit",module,Magento_AdminNotification
"Major System Messages","Merkittävät järjestelmäviestit",module,Magento_AdminNotification
"System messages",Järjestelmäviestit,module,Magento_AdminNotification
Close,Sulje,module,Magento_AdminNotification
"See All (","Katso kaikki (",module,Magento_AdminNotification
unread),lukematta),module,Magento_AdminNotification
"Show Toolbar","Näytä työkalupalkki",module,Magento_AdminNotification
"Show List","Näytä lista",module,Magento_AdminNotification
"Use HTTPS to Get Feed","Käytä HTTPS-yhteyttä syötteen haussa",module,Magento_AdminNotification
"Update Frequency",Päivitystiheys,module,Magento_AdminNotification
"Last Update","Muokattu viimeksi",module,Magento_AdminNotification
Severity,Vakavuus,module,Magento_AdminNotification
"Date Added",Lisäyspäivämäärä,module,Magento_AdminNotification
Message,Viesti,module,Magento_AdminNotification
Actions,Toiminnot,module,Magento_AdminNotification
"Manage Shopping Cart","Hallitse ostoskoria",module,Magento_AdvancedCheckout
"Create Order","Luo tilaus",module,Magento_AdvancedCheckout
Back,Takaisin,module,Magento_AdvancedCheckout
"Add Products","Lisää tuotteita",module,Magento_AdvancedCheckout
"Update Items and Quantities","Päivitä nimikkeet ja määrät",module,Magento_AdvancedCheckout
"Are you sure you want to clear your cart?","Oletko varma, että haluat tyhjentää ostoskorisi?",module,Magento_AdvancedCheckout
"Clear my shopping cart","Tyhjennä Ostoskori",module,Magento_AdvancedCheckout
